iter	Passed	Remaining
0	0	97
1	1	90
2	2	85
3	3	79
4	4	78
5	4	76
6	5	76
7	6	75
8	7	75
9	8	74
10	9	73
11	9	72
12	10	71
13	11	69
14	12	68
15	12	67
16	13	66
17	14	65
18	15	65
19	16	64
20	16	63
21	17	62
22	18	61
23	19	60
24	19	59
25	20	59
26	21	58
27	22	57
28	23	56
29	24	56
30	25	55
31	25	55
32	26	54
33	27	53
34	28	52
35	29	51
36	29	50
37	30	49
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	43
46	37	42
47	38	41
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	37
54	43	35
55	44	35
56	45	34
57	46	33
58	47	32
59	48	32
60	48	31
61	49	30
62	50	29
63	51	28
64	52	28
65	53	27
66	53	26
67	54	25
68	55	25
69	56	24
70	57	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	67	13
83	68	12
84	69	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	81	0
